zcta5,year,amenity_source_rows,amenity_type_count,amenity_est_total,amenity_employee_bucket_total,amenity_est_bucket_gap,amenities_observed,amenity_est_coffee_shops,amenity_est_fitness,amenity_est_parks,amenity_est_restaurants,amenity_emp_1000_plus,amenity_emp_100_249,amenity_emp_10_19,amenity_emp_1_4,amenity_emp_20_49,amenity_emp_250_499,amenity_emp_500_999,amenity_emp_50_99,amenity_emp_5_9,amenities_population_for_rate,amenity_per_10k_total,amenity_per_10k_bucket_gap,amenity_per_10k_coffee_shops,amenity_per_10k_fitness,amenity_per_10k_parks,amenity_per_10k_restaurants
90007,2021,2,2,35,31,4,True,10,0,0,25,0,0,9,10,6,0,0,0,6,41270.0,8.48073661255149,0.9692270414344559,2.4230676035861403,0.0,0.0,6.05766900896535
90007,2022,2,2,43,39,4,True,14,0,0,29,0,0,11,10,12,0,0,0,6,41004.0,10.486781777387572,0.97551458394303,3.4143010438006045,0.0,0.0,7.072480733586967
90007,2023,2,2,48,44,4,True,15,0,0,33,0,0,12,7,15,0,0,0,10,39253.0,12.228364710977505,1.0190303925814588,3.82136397218047,0.0,0.0,8.407000738797034
90008,2012,2,2,8,8,0,True,2,0,0,6,0,0,1,4,2,0,0,0,1,33754.0,2.3700894708775255,0.0,0.5925223677193814,0.0,0.0,1.7775671031581441
90008,2013,2,2,9,9,0,True,3,0,0,6,0,0,0,5,3,0,0,0,1,33280.0,2.7043269230769234,0.0,0.9014423076923077,0.0,0.0,1.8028846153846154
90008,2014,2,2,11,11,0,True,3,0,0,8,0,0,2,6,2,0,0,0,1,33012.0,3.3321216527323396,0.0,0.9087604507451835,0.0,0.0,2.423361201987156
90008,2015,2,2,9,9,0,True,2,0,0,7,0,0,0,6,2,0,0,0,1,31837.0,2.826899519427082,0.0,0.6281998932060181,0.0,0.0,2.1986996262210634
90008,2016,2,2,10,10,0,True,2,0,0,8,0,0,1,5,3,0,0,0,1,32060.0,3.119151590767311,0.0,0.6238303181534623,0.0,0.0,2.4953212726138494
90008,2017,2,2,18,15,3,True,6,0,0,12,0,0,0,7,5,0,0,0,3,32359.0,5.562594641367162,0.927099106894527,1.854198213789054,0.0,0.0,3.708396427578108
90008,2018,2,2,18,9,9,True,7,0,0,11,0,0,0,0,5,0,0,0,4,31739.0,5.671256183244588,2.835628091622294,2.205488515706229,0.0,0.0,3.4657676675383597
90008,2019,2,2,17,12,5,True,6,0,0,11,0,0,0,4,5,0,0,0,3,31754.0,5.353656232285696,1.5746047742016753,1.8895257290420104,0.0,0.0,3.4641305032436858
90008,2020,2,2,18,13,5,True,6,0,0,12,0,0,0,6,3,0,0,0,4,31900.0,5.6426332288401255,1.5673981191222572,1.8808777429467083,0.0,0.0,3.7617554858934166
90008,2021,2,2,19,18,1,True,6,0,0,13,0,0,0,8,3,0,0,0,7,31046.0,6.119951040391676,0.32210268633640404,1.9326161180184243,0.0,0.0,4.187334922373252
90008,2022,2,2,20,15,5,True,8,0,0,12,0,0,0,4,4,0,0,0,7,33076.0,6.046680372475511,1.5116700931188778,2.4186721489902046,0.0,0.0,3.6280082234853066
90008,2023,2,2,19,16,3,True,8,0,0,11,0,0,0,7,3,0,0,0,6,33443.0,5.681308495051281,0.8970487097449391,2.392129892653171,0.0,0.0,3.2891786023981107
90010,2012,3,3,104,104,0,True,29,4,0,71,0,0,18,53,14,0,0,1,18,3835.0,271.1864406779661,0.0,75.61929595827901,10.430247718383312,0.0,185.13689700130377
90010,2013,3,3,104,104,0,True,29,4,0,71,0,0,15,49,14,0,0,3,23,4133.0,251.63319622550205,0.0,70.16694894749577,9.678199854827001,0.0,171.78804742317928
90010,2014,3,3,107,107,0,True,33,4,0,70,0,2,16,48,15,0,0,3,23,3792.0,282.1729957805907,0.0,87.0253164556962,10.548523206751055,0.0,184.59915611814347
90010,2015,3,3,111,111,0,True,30,5,0,76,0,1,21,39,21,0,0,6,23,3740.0,296.7914438502674,0.0,80.21390374331551,13.36898395721925,0.0,203.20855614973263
90010,2016,3,3,116,116,0,True,31,5,0,80,0,2,19,41,24,0,0,5,25,3524.0,329.17139614074915,0.0,87.96821793416572,14.188422247446084,0.0,227.01475595913735
90010,2017,3,3,127,122,5,True,32,5,0,90,0,0,23,54,24,0,0,5,16,3759.0,337.8558127161479,13.301409949454643,85.12902367650972,13.301409949454643,0.0,239.42537909018358
90010,2018,3,3,123,116,7,True,30,6,0,87,0,0,27,43,18,0,0,5,23,3702.0,332.25283630470017,18.9086980010805,81.03727714748784,16.207455429497568,0.0,235.00810372771474
90010,2019,3,3,111,105,6,True,25,5,0,81,0,0,29,33,14,0,0,9,20,3822.0,290.4238618524333,15.698587127158557,65.41077969649399,13.082155939298795,0.0,211.9309262166405
90010,2020,3,3,101,95,6,True,22,5,0,74,0,0,21,34,12,0,0,5,23,4108.0,245.86173320350537,14.605647517039921,53.554040895813046,12.171372930866603,0.0,180.1363193768257
90010,2021,3,3,98,97,1,True,22,5,0,71,0,0,23,45,9,0,0,4,16,4313.0,227.22003246000463,2.3185717597959656,51.00857871551124,11.59285879897983,0.0,164.61859494551356
90010,2022,3,3,94,85,9,True,21,6,0,67,0,0,24,36,14,0,0,6,5,4185.0,224.61170848267622,21.50537634408602,50.17921146953405,14.336917562724015,0.0,160.09557945041817
90010,2023,3,3,96,89,7,True,23,6,0,67,0,0,26,27,13,0,0,8,15,4478.0,214.38142027690932,15.631978561857974,51.362215274676196,13.398838767306833,0.0,149.6203662349263
90011,2012,2,2,14,14,0,True,10,0,0,4,0,0,1,11,0,0,0,0,2,100671.0,1.3906686136027258,0.0,0.9933347240019469,0.0,0.0,0.39733388960077876
90011,2013,2,2,15,15,0,True,10,0,0,5,0,0,1,11,0,0,0,0,3,100882.0,1.4868856684046707,0.0,0.9912571122697805,0.0,0.0,0.49562855613489026
