model,transformed_feature,coefficient,abs_coefficient,feature,source_group
ols_linear_regression,"categorical__parent_metro_region_Santa Rosa, CA",-0.029503446459485706,0.029503446459485706,parent_metro_region,listings
ols_linear_regression,numeric__log_total_population,0.027891467951935867,0.027891467951935867,log_total_population,demographics
ols_linear_regression,numeric__annual_homes_sold,-0.026733184474571264,0.026733184474571264,annual_homes_sold,listings
ols_linear_regression,numeric__avg_pct_met_overall_z_assessment_year,0.025560112797496884,0.025560112797496884,avg_pct_met_overall_z_assessment_year,school_quality
ols_linear_regression,"categorical__parent_metro_region_Los Angeles, CA",-0.025367415077353093,0.025367415077353093,parent_metro_region,listings
ols_linear_regression,numeric__hispanic_or_latino_total_share,0.02353255196557321,0.02353255196557321,hispanic_or_latino_total_share,other
ols_linear_regression,categorical__zcta_county_assignment_quality_multi_county_low_dominance,-0.02335582169513027,0.02335582169513027,zcta_county_assignment_quality,minimum_wage
ols_linear_regression,numeric__education_less_than_high_school_share,-0.02241471854894197,0.02241471854894197,education_less_than_high_school_share,demographics
ols_linear_regression,numeric__annual_avg_sale_to_list,0.02128329135008443,0.02128329135008443,annual_avg_sale_to_list,listings
ols_linear_regression,numeric__education_some_college_or_associates_share,0.020318188519807816,0.020318188519807816,education_some_college_or_associates_share,demographics
ols_linear_regression,numeric__age_45_64_share,0.02028824152598177,0.02028824152598177,age_45_64_share,demographics
ols_linear_regression,numeric__minimum_wage_for_model_annual_avg,0.020244689605136673,0.020244689605136673,minimum_wage_for_model_annual_avg,minimum_wage
ols_linear_regression,"categorical__parent_metro_region_Salinas, CA",0.019312402970016226,0.019312402970016226,parent_metro_region,listings
ols_linear_regression,numeric__foreign_born_noncitizen_share_of_foreign_born,-0.01875981874856253,0.01875981874856253,foreign_born_noncitizen_share_of_foreign_born,demographics
ols_linear_regression,numeric__race_some_other_race_alone_share,0.01724770824698474,0.01724770824698474,race_some_other_race_alone_share,demographics
ols_linear_regression,numeric__age_35_44_share,0.016656583242802503,0.016656583242802503,age_35_44_share,demographics
ols_linear_regression,numeric__annual_inventory_mean,0.015580490497576815,0.015580490497576815,annual_inventory_mean,listings
ols_linear_regression,boolean__full_year_coverage_True,0.013765055245482556,0.013765055245482556,full_year_coverage,listings
ols_linear_regression,numeric__age_25_34_share,-0.013410212642111993,0.013410212642111993,age_25_34_share,demographics
ols_linear_regression,categorical__zcta_county_assignment_quality_single_county,-0.011558868096493952,0.011558868096493952,zcta_county_assignment_quality,minimum_wage
ols_linear_regression,"categorical__parent_metro_region_Oxnard, CA",-0.011488780958211035,0.011488780958211035,parent_metro_region,listings
ols_linear_regression,"categorical__parent_metro_region_San Jose, CA",0.010240883731749334,0.010240883731749334,parent_metro_region,listings
ols_linear_regression,numeric__amenity_type_count,0.00854529341203597,0.00854529341203597,amenity_type_count,amenities
ols_linear_regression,numeric__race_black_alone_share,0.007886198909318298,0.007886198909318298,race_black_alone_share,demographics
ols_linear_regression,numeric__amenity_per_10k_restaurants,0.007688412376530428,0.007688412376530428,amenity_per_10k_restaurants,amenities
ols_linear_regression,numeric__age_18_24_share,0.007241002197469863,0.007241002197469863,age_18_24_share,demographics
ols_linear_regression,"categorical__parent_metro_region_Eureka, CA",-0.006902125011173809,0.006902125011173809,parent_metro_region,listings
ols_linear_regression,numeric__amenity_per_10k_parks,0.006400386708537792,0.006400386708537792,amenity_per_10k_parks,amenities
ols_linear_regression,numeric__amenity_per_10k_fitness,-0.006335227549365975,0.006335227549365975,amenity_per_10k_fitness,amenities
ols_linear_regression,numeric__amenity_per_10k_coffee_shops,0.005532994756017323,0.005532994756017323,amenity_per_10k_coffee_shops,amenities
ols_linear_regression,numeric__log1p_n_schools,0.005324644169392864,0.005324644169392864,log1p_n_schools,school_quality
ols_linear_regression,"categorical__parent_metro_region_San Diego, CA",-0.003627184316685475,0.003627184316685475,parent_metro_region,listings
ols_linear_regression,numeric__male_share,-0.00357904599707181,0.00357904599707181,male_share,demographics
ols_linear_regression,numeric__race_two_or_more_share,-0.0033660922764389423,0.0033660922764389423,race_two_or_more_share,demographics
ols_linear_regression,numeric__annual_median_dom,-0.0029249985484558205,0.0029249985484558205,annual_median_dom,listings
ols_linear_regression,"categorical__parent_metro_region_San Francisco, CA",-0.0027989044373212257,0.0027989044373212257,parent_metro_region,listings
ols_linear_regression,numeric__race_american_indian_or_alaska_native_alone_share,0.0024470738838777845,0.0024470738838777845,race_american_indian_or_alaska_native_alone_share,demographics
ols_linear_regression,numeric__months_observed,0.0019340245541396434,0.0019340245541396434,months_observed,listings
ols_linear_regression,numeric__race_native_hawaiian_or_pacific_islander_alone_share,-0.001797976919006572,0.001797976919006572,race_native_hawaiian_or_pacific_islander_alone_share,demographics
ols_linear_regression,numeric__annual_months_of_supply_est,-0.001630740008846658,0.001630740008846658,annual_months_of_supply_est,listings
ols_linear_regression,"categorical__parent_metro_region_Oakland, CA",0.0006199512889063091,0.0006199512889063091,parent_metro_region,listings
ols_linear_regression,numeric__overall_score_range,-0.0002728089485554211,0.0002728089485554211,overall_score_range,school_quality
ridge_linear_regression,"categorical__parent_metro_region_Susanville, CA",-0.5159621982081717,0.5159621982081717,parent_metro_region,listings
ridge_linear_regression,"categorical__parent_metro_region_Hanford, CA",-0.4465061816152911,0.4465061816152911,parent_metro_region,listings
